StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q42_2,Q42_3,Q42_4,Q42_5,Q61,Q1_1,Q1_2,Q1_3,Q30,userid,mTurkCode
2017-08-16 21:13:26,2017-08-16 21:15:25,IP Address,73.255.221.200,100,119,True,2017-08-16 21:15:26,R_ZEjrMLEfAlmzP5D,,,,,27.083999633789,-82.450103759766,anonymous,EN,1,2,1,1,50,64,Retired,"Caucasian ",Female,ek5ifrpy,177164
2017-08-16 21:38:02,2017-08-16 21:39:23,IP Address,208.93.15.201,100,80,True,2017-08-16 21:39:23,R_w79cHJb6jB95JgR,,,,,45.073593139648,-69.034301757812,anonymous,EN,10,15,10,2,50,48,sub teacher,American,Female,gckllpw8,585399
2017-08-17 10:48:15,2017-08-17 10:49:11,IP Address,72.182.75.224,100,56,True,2017-08-17 10:49:12,R_1GUM4uVGt8NQEw5,,,,,30.16780090332,-97.82250213623,anonymous,EN,1,1,2,0,0,27,Product Support Specialist,African-American,Male,1r4t4tsa,2675539
2017-08-17 16:29:06,2017-08-17 16:31:38,IP Address,198.49.90.2,100,152,True,2017-08-17 16:31:39,R_2Es36b0Pi5kc8O5,,,,,37.751007080078,-97.821998596191,anonymous,EN,5,7,2,1,50,33,radiology technologist,american,Male,ohsc4lfy,5169266
2017-08-17 16:42:41,2017-08-17 16:44:13,IP Address,73.67.199.112,100,92,True,2017-08-17 16:44:14,R_zdmF89r390giuaZ,,,,,45.467697143555,-122.49589538574,anonymous,EN,2,4,5,5,50,44,Web Developer,American,Male,8zlanro4,2391189
2017-08-17 16:47:20,2017-08-17 16:48:41,IP Address,76.115.49.208,100,81,True,2017-08-17 16:48:42,R_5tqOuC057eBvr0d,,,,,45.577392578125,-122.62080383301,anonymous,EN,5,10,1,3,50,25,catsitter,American,Female,em499zl9,3837087
2017-08-17 18:12:34,2017-08-17 18:14:03,IP Address,76.110.52.225,100,88,True,2017-08-17 18:14:04,R_2xQKI6p3e8UED0F,,,,,27.249801635742,-80.379699707031,anonymous,EN,3,20,5,3,50,27,social work,american,Female,vrslga0y,8328943
2017-08-17 18:22:58,2017-08-17 18:23:21,IP Address,67.183.210.112,100,23,True,2017-08-17 18:23:22,R_2R81lI1CnnQYwON,,,,,47.940200805664,-122.00619506836,anonymous,EN,10,15,11,15,59,27,sales,amer,Male,8v5p3jkn,2678778
2017-08-17 18:24:03,2017-08-17 18:28:30,IP Address,107.190.210.83,100,266,True,2017-08-17 18:28:30,R_2an2rMQMF0A3V3w,,,,,45.928207397461,-123.70930480957,anonymous,EN,1,5,1,1,50,43,Transit Center Manager,United States,Male,s6xnuslq,1284310
2017-08-17 18:35:14,2017-08-17 18:35:47,IP Address,129.22.21.197,100,32,True,2017-08-17 18:35:48,R_rcK97uGb3PZZxFn,,,,,41.507400512695,-81.60530090332,anonymous,EN,3,1,1,1,25,19,Student,American,Male,4otghjpy,7270961
2017-08-17 18:48:08,2017-08-17 18:52:52,IP Address,24.19.127.148,100,284,True,2017-08-17 18:52:53,R_2t50yATjEoq2251,,,,,47.197998046875,-122.44729614258,anonymous,EN,10,10,5,2,35,36,Administrative Assistant,American,Female,yil5bxpe,8512908
2017-08-17 19:15:31,2017-08-17 19:18:38,IP Address,74.124.172.209,100,186,True,2017-08-17 19:18:39,R_2CJsnN0tUgiqc9G,,,,,36.016204833984,-80.043403625488,anonymous,EN,2,2,0,0,15,34,Attorney,Anerican,Male,ag4s7gvh,9206858
2017-08-17 19:25:34,2017-08-17 19:29:41,IP Address,24.17.181.162,100,247,True,2017-08-17 19:29:42,R_1dEtd0IokFqML9H,,,,,47.185394287109,-122.29290008545,anonymous,EN,5,3,0,1,50,58,Education Assistant,Canadian,Female,zep1wdmu,7503716
2017-08-17 19:33:25,2017-08-17 19:35:47,IP Address,104.188.142.98,100,141,True,2017-08-17 19:35:47,R_9sCJggc7O8V8fQJ,,,,,29.960693359375,-95.740898132324,anonymous,EN,3,2,0,0,50,33,ATTORNEY,BLACK,Female,p4guliw4,7012603
2017-08-17 19:55:08,2017-08-17 19:57:41,IP Address,76.7.141.114,100,153,True,2017-08-17 19:57:42,R_2e868fOs3U8kbyT,,,,,36.184906005859,-82.306701660156,anonymous,EN,0.75,0.5,0,1.75,50,33,Homemaker,Venezuelan,Female,v14ptdi2,9002238
2017-08-17 20:11:04,2017-08-17 20:15:57,IP Address,73.61.14.173,100,292,True,2017-08-17 20:15:58,R_p6OY0qAQVfn6ylj,,,,,42.284805297852,-71.074096679688,anonymous,EN,1,1,1,0,20,46,Self Employed,American,Female,r8ewgenh,612551
2017-08-17 20:25:02,2017-08-17 20:26:15,IP Address,98.222.206.173,100,72,True,2017-08-17 20:26:15,R_rprvIPM7n4XEkIF,,,,,40.422393798828,-86.803100585938,anonymous,EN,5,7,2,3,50,35,Music Teacher,American,Female,c0uu2wr0,3278829
2017-08-17 20:53:29,2017-08-17 20:54:49,IP Address,75.61.71.49,100,80,True,2017-08-17 20:54:50,R_3oUhSXUXB05EQPI,,,,,37.721694946289,-122.44439697266,anonymous,EN,3,20,2,2,30,57,Photographer,USA,Female,1vsb3i5t,6194555
2017-08-17 21:14:11,2017-08-17 21:15:28,IP Address,174.28.127.11,100,76,True,2017-08-17 21:15:28,R_110xYh52hSPVpIO,,,,,35.149993896484,-106.57279968262,anonymous,EN,0.1,0.1,0.1,0,50,34,Manager,USA,Male,y7qk0o2b,1738148
2017-08-18 09:18:06,2017-08-18 09:19:52,IP Address,81.62.9.191,100,105,True,2017-08-18 09:19:53,R_3g5yM8cjRRBr6vd,,,,,47.144897460938,8.1551055908203,anonymous,EN,0.1,0.1,0.1,0.1,70,41,educator,swiss,Female,tb02h0eh,2883322
2017-08-18 09:21:01,2017-08-18 09:22:14,IP Address,99.13.250.24,100,73,True,2017-08-18 09:22:15,R_33anVRaY1T0obF9,,,,,28.918106079102,-80.897102355957,anonymous,EN,33,3,2,0,50,66,tutor,american,Female,ajfdr5ok,6368474
2017-08-18 09:28:54,2017-08-18 09:29:50,Spam,99.13.250.24,100,56,True,2017-08-18 09:29:50,R_2QJoMBl3FkZJVJM,,,,,28.918106079102,-80.897102355957,anonymous,EN,33,3,2,0,50,66,tutor,american,Female,ajfdr5ok,6403893
